pet1_breed,pet1_size,pet1_energy,pet1_temperament,pet1_age,pet1_social,pet1_weight,pet2_breed,pet2_size,pet2_energy,pet2_temperament,pet2_age,pet2_social,pet2_weight,compatibility_score
Border Collie,medium,high,intelligent,13,0.811669390916374,42,Poodle,medium,medium,intelligent,5,0.7655334977675877,29,0.7469436709446517
Beagle,medium,low,friendly,3,0.6487123835043953,42,Husky,large,high,energetic,11,0.6608902610236602,80,0.4055970823791419
Border Collie,medium,high,intelligent,3,0.6173995250509005,26,German Shepherd,large,high,protective,8,0.5249110788226445,66,0.8429116598066541
Border Collie,medium,high,intelligent,3,0.6204220372659311,55,Chihuahua,small,medium,nervous,8,0.332384312757444,20,0.5741078143304745
Beagle,medium,high,friendly,8,0.9626076932984872,38,Golden Retriever,large,medium,friendly,2,0.7171013839927278,66,1.0
Corgi,small,medium,friendly,13,0.6552695006830138,13,Labrador,large,high,friendly,11,0.935976502562005,86,0.7220896726876345
Corgi,small,medium,friendly,2,0.5925422957612262,24,Chihuahua,small,medium,nervous,14,0.3741102797069131,22,0.6666268846264324
Chihuahua,small,medium,nervous,6,0.3284956232828875,16,Border Collie,medium,high,intelligent,10,0.7063406870329755,36,0.669329321473977
Pomeranian,small,medium,bold,11,0.2945497891728043,11,Shih Tzu,small,low,calm,13,0.5805309081482827,10,0.6051281747912368
Labrador,large,high,friendly,2,0.8747866723292916,61,Labrador,large,high,friendly,9,1.0,70,0.9608989168111889
Border Collie,medium,high,intelligent,11,0.622757872486313,40,Chihuahua,small,medium,nervous,11,0.2982866566255038,8,0.7404877224077239
Chihuahua,small,high,nervous,11,0.4347495384437288,15,Husky,large,high,energetic,9,0.6706207341531487,66,0.4373800908016982
Chihuahua,small,medium,nervous,5,0.5902179180865338,5,Husky,large,high,energetic,8,0.7717622208115806,63,0.23561308182537968
Bulldog,medium,low,calm,13,0.6698150572598786,45,Corgi,small,medium,friendly,6,0.7450468210897759,19,0.6818525702975925
Beagle,medium,high,friendly,7,0.8355266512804653,35,Chihuahua,small,high,nervous,12,0.5075727757059276,8,0.7755259074461
Labrador,large,high,friendly,8,0.8003917372386866,72,Husky,large,high,energetic,7,0.5777788865286432,94,1.0
Corgi,small,low,friendly,14,0.6989081858808167,5,Border Collie,medium,high,intelligent,13,0.5411847843949644,46,0.5276523151587131
Poodle,medium,medium,intelligent,6,0.6202974419764604,38,Corgi,small,medium,friendly,6,0.7388600103836754,11,0.9576871950282797
Rottweiler,large,medium,protective,13,0.4218655533943627,69,Labrador,large,high,friendly,1,0.7359732211912144,88,0.679827016192165
Corgi,small,medium,friendly,5,0.9111814455544365,13,Labrador,large,medium,friendly,9,0.8478049585959458,68,0.8916219486013938
Bulldog,medium,medium,calm,1,0.8661861852901815,25,Poodle,medium,medium,intelligent,5,0.6414773730430702,31,0.9184857745753683
Beagle,medium,high,friendly,11,0.779171478013045,33,Husky,large,low,energetic,1,0.5683520982078675,82,0.27945257884051367
Poodle,medium,medium,intelligent,2,0.6804928137794258,33,Rottweiler,large,medium,protective,14,0.3773969888195901,88,0.6811134082289264
Beagle,medium,high,friendly,1,0.6560831744997402,36,Labrador,large,high,friendly,1,0.8696331466645004,62,0.9950602432115375
Beagle,medium,high,friendly,4,0.7781964714803645,37,Bulldog,medium,low,calm,11,0.7282000996834834,49,0.48935766948307197
Poodle,medium,medium,intelligent,14,0.5185955332373678,50,Boxer,large,medium,playful,5,1.0,96,0.7887849314581723
Corgi,small,medium,friendly,7,0.7314137120036139,14,Rottweiler,large,medium,protective,6,0.4450675947963735,75,0.6227377738661898
Boxer,large,high,playful,7,0.7853612411543371,91,Golden Retriever,large,high,friendly,2,0.8353445240219507,72,0.9500577563698936
Corgi,small,medium,friendly,10,0.5833689850976717,19,Corgi,small,low,friendly,2,0.8096540722944376,19,0.9875436264492612
Bulldog,medium,high,calm,6,0.6456512000966816,50,Dachshund,small,medium,stubborn,7,0.516971257024482,9,0.7450011967399179
Shih Tzu,small,medium,calm,12,0.6251512381956404,17,Golden Retriever,large,high,friendly,1,0.8425790314299153,82,0.28151152349109765
Poodle,medium,medium,intelligent,13,0.6719444504207709,49,Corgi,small,medium,friendly,6,0.6482577895754958,14,0.749455518418448
Rottweiler,large,medium,protective,6,0.5851390372400759,74,Bulldog,medium,low,calm,4,0.7227373855338345,26,0.6940414341995934
Corgi,small,low,friendly,14,0.6012681023224646,9,Pomeranian,small,low,bold,5,0.5184201816394148,24,0.7883227993294423
Border Collie,medium,high,intelligent,6,0.4756143193513632,32,Shih Tzu,small,low,calm,14,0.4429460245665279,7,0.15375690448762805
Poodle,medium,medium,intelligent,12,0.56812346965534,33,Pomeranian,small,medium,bold,5,0.32197902916764976,18,0.6874848007897948
Poodle,medium,medium,intelligent,2,0.6526029867346677,46,Corgi,small,low,friendly,11,0.5844365080070639,24,0.5701315090583866
German Shepherd,large,high,protective,10,0.6524475269923066,68,Beagle,medium,high,friendly,10,0.8142175649669665,58,0.942549428781498
Husky,large,high,energetic,7,0.7571012957979949,61,German Shepherd,large,high,protective,12,0.8096501779922174,71,0.8861282405564352
Shih Tzu,small,low,calm,4,0.43773268080746724,7,Golden Retriever,large,high,friendly,14,0.8265281422198288,72,0.0
Corgi,small,high,friendly,8,0.8081058131990941,10,Corgi,small,medium,friendly,4,0.5760374909280331,21,1.0
Beagle,medium,high,friendly,2,0.8091963915457979,44,Shih Tzu,small,low,calm,11,0.4785521509142953,18,0.33036002295653405
Husky,large,high,energetic,7,0.7495557498326991,60,Husky,large,high,energetic,11,0.7318108264091011,69,0.8833187462782824
Chihuahua,small,low,nervous,12,0.1697594243466033,5,Golden Retriever,large,low,friendly,14,0.8031294168931105,91,0.4462173773694845
Bulldog,medium,low,calm,14,0.6651611748916908,31,Golden Retriever,large,high,friendly,7,0.7637388650976973,74,0.3478644772379353
Dachshund,small,medium,stubborn,3,0.25291243128131236,22,Rottweiler,large,medium,protective,1,0.6851357150033547,76,0.44911110501592183
Corgi,small,high,friendly,10,0.6598863226416738,15,Pomeranian,small,low,bold,11,0.5375830127793807,9,0.5747872070529209
Labrador,large,high,friendly,14,1.0,80,Dachshund,small,medium,stubborn,8,0.5681044687047061,15,0.4161898650627996
Pomeranian,small,medium,bold,7,0.43807649425364814,15,Dachshund,small,medium,stubborn,14,0.5358744685912917,9,0.7934835637817905
Dachshund,small,medium,stubborn,10,0.3600407685348583,16,Labrador,large,medium,friendly,6,0.7927413653822396,75,0.47159700302716145
Border Collie,medium,high,intelligent,13,0.836473769076614,48,Border Collie,medium,high,intelligent,6,0.6697358352308719,31,0.9617044370032272
Corgi,small,high,friendly,2,0.772442708807298,6,Golden Retriever,large,high,friendly,14,0.9357271800703846,96,0.8990592185689528
Husky,large,medium,energetic,9,0.7707050556118398,75,Dachshund,small,medium,stubborn,2,0.4372547268989607,5,0.5971665361886779
Chihuahua,small,high,nervous,1,0.4668031631628641,7,Border Collie,medium,high,intelligent,7,0.910738947060692,28,0.876599112163641
Rottweiler,large,medium,protective,10,0.4907441454172805,70,Boxer,large,high,playful,6,0.7389687625225798,97,0.7452810747244009
German Shepherd,large,high,protective,9,0.6173901468552477,60,Beagle,medium,medium,friendly,1,0.7211678144871546,41,0.7176709162721319
Pomeranian,small,medium,bold,9,0.4052204692755221,11,Rottweiler,large,medium,protective,8,0.7730887670924775,79,0.7061859633371779
Poodle,medium,medium,intelligent,8,0.6123695334360142,30,Boxer,large,medium,playful,3,0.7131998271441078,76,0.8508784771885473
Golden Retriever,large,high,friendly,8,0.8081232564704607,71,Border Collie,medium,high,intelligent,13,0.8311901907705215,56,0.866484382090404
Dachshund,small,medium,stubborn,9,0.5357278713266774,7,Poodle,medium,medium,intelligent,1,0.7882352546156928,53,0.7990837310097155
Border Collie,medium,high,intelligent,2,0.6864801178590506,30,Golden Retriever,large,low,friendly,4,0.9458089676192949,86,0.6478680211713282
Beagle,medium,high,friendly,1,0.7754784237616849,47,Shih Tzu,small,low,calm,8,0.5805515281754113,10,0.4725807319076628
Pomeranian,small,medium,bold,2,0.5438517052787746,15,Boxer,large,high,playful,11,0.8347430849760418,94,0.2373364269989796
Pomeranian,small,medium,bold,8,0.4656480710009657,8,Border Collie,medium,high,intelligent,11,0.5592426002837292,25,0.7565053023684271
Rottweiler,large,medium,protective,10,0.5333524009865347,79,Chihuahua,small,medium,nervous,9,0.27731759617802715,17,0.5817496488872507
Rottweiler,large,medium,protective,1,0.4138976871775481,65,Boxer,large,high,playful,1,0.7406010237935743,87,0.8354510020098281
Chihuahua,small,medium,nervous,7,0.39894136964966853,10,Dachshund,small,medium,stubborn,14,0.4882264688658294,23,0.7498774236208852
Dachshund,small,medium,stubborn,9,0.5513519494103039,23,Beagle,medium,high,friendly,8,0.6304464658553129,33,0.7867894835361938
Labrador,large,high,friendly,3,0.8617317951947424,98,Labrador,large,high,friendly,12,0.9048509557456352,81,0.9408851532576241
Border Collie,medium,high,intelligent,14,0.522743043743775,25,Chihuahua,small,medium,nervous,14,0.17573806353127464,14,0.5845307152457673
Chihuahua,small,medium,nervous,9,0.4913926514988085,16,Labrador,large,high,friendly,11,0.9508044127052812,69,0.41010989319254926
Labrador,large,high,friendly,8,1.0,60,German Shepherd,large,medium,protective,5,0.6396359363559682,61,0.9038332063856925
Chihuahua,small,medium,nervous,4,0.3603532335935744,14,Shih Tzu,small,low,calm,3,0.5441183870531215,18,0.7834635567225597
Chihuahua,small,medium,nervous,1,0.2527107577990604,20,Bulldog,medium,medium,calm,10,0.6836401444181338,45,0.5937471527832666
Pomeranian,small,high,bold,11,0.36977338009507077,7,Chihuahua,small,medium,nervous,8,0.47729022319780606,18,0.6107009186617871
Beagle,medium,high,friendly,7,0.6410996002805371,59,Corgi,small,medium,friendly,3,0.7125383074236887,20,0.9383193866934971
Poodle,medium,medium,intelligent,5,0.49642092530432647,52,Poodle,medium,medium,intelligent,8,0.6236404758691163,40,1.0
Corgi,small,medium,friendly,11,0.7400483053861401,15,Shih Tzu,small,low,calm,2,0.6208073712802534,6,0.6443157764086411
Golden Retriever,large,high,friendly,9,0.9575795959125298,72,Rottweiler,large,medium,protective,6,0.5834723268155039,99,0.844502779233682
Border Collie,medium,high,intelligent,14,0.69957100927196,34,Husky,large,high,energetic,12,0.651087681529202,62,0.8535143832309176
Labrador,large,high,friendly,7,0.8662937844564736,64,Labrador,large,high,friendly,9,0.9274158221765862,77,0.9608353561431855
Bulldog,medium,low,calm,2,0.49937354304776477,37,Poodle,medium,medium,intelligent,13,0.8016904160400983,31,0.5836577602901082
Rottweiler,large,medium,protective,1,0.4743789152716356,67,Labrador,large,high,friendly,1,0.8369843432423868,67,0.9225917982148409
Poodle,medium,medium,intelligent,1,0.814352291909264,37,Husky,large,high,energetic,5,0.8936141318131915,60,0.7842096765947048
Shih Tzu,small,low,calm,12,0.5485077366050393,7,Poodle,medium,low,intelligent,14,0.5077310046369481,51,0.8077531404957459
Golden Retriever,large,high,friendly,3,0.9473224183272642,77,Chihuahua,small,medium,nervous,9,0.5218636666772783,21,0.38464965516837035
Golden Retriever,large,high,friendly,2,0.6933237934587483,91,Chihuahua,small,medium,nervous,14,0.3413901708615976,13,0.3899913922519423
Beagle,medium,high,friendly,4,0.834056305461594,48,Shih Tzu,small,low,calm,1,0.5230481410862929,8,0.48753639282962546
Labrador,large,high,friendly,4,0.9507105693317426,96,Golden Retriever,large,low,friendly,13,0.9180736186410878,94,0.7340795142476864
Pomeranian,small,medium,bold,8,0.6574574481668833,5,Labrador,large,high,friendly,6,0.7696918431949568,62,0.5044129584740347
Labrador,large,low,friendly,11,0.8662534221011488,66,Poodle,medium,medium,intelligent,9,0.8174894513262946,45,0.9048873380276854
Husky,large,high,energetic,10,0.6856201477989037,65,Border Collie,medium,high,intelligent,10,0.7285087848337,53,1.0
Labrador,large,high,friendly,3,0.9154371661027089,75,Husky,large,high,energetic,12,0.8617257040653523,95,0.9681991910869953
Dachshund,small,medium,stubborn,14,0.5624332377230277,5,Boxer,large,high,playful,12,0.8010410699133474,96,0.47037038239889917
Golden Retriever,large,medium,friendly,12,0.8979506482614058,94,Golden Retriever,large,high,friendly,5,0.8010077954594758,80,1.0
Dachshund,small,medium,stubborn,10,0.33530877370994483,18,Poodle,medium,medium,intelligent,2,0.7256544974526513,46,0.7733664601732448
Border Collie,medium,high,intelligent,8,0.8301618540653427,49,Bulldog,medium,low,calm,14,0.5902387616137839,57,0.40053109642398843
Poodle,medium,high,intelligent,6,0.7722479826862454,27,Rottweiler,large,medium,protective,6,0.7126370762254193,80,0.8066441147619469
Golden Retriever,large,high,friendly,1,0.9571254669818899,83,Pomeranian,small,medium,bold,13,0.50505444475029,13,0.26358032190810254
Bulldog,medium,low,calm,7,0.5787555894672157,47,Poodle,medium,medium,intelligent,6,0.5629570393068174,44,0.9064653815401078
German Shepherd,large,high,protective,9,0.455147842545933,65,Dachshund,small,medium,stubborn,10,0.45703817463342966,21,0.37455441176888116
Border Collie,medium,high,intelligent,1,0.7702794060656616,32,Husky,large,high,energetic,4,0.893215904717326,60,0.924940944955118
Dachshund,small,medium,stubborn,9,0.5724410740734167,10,Rottweiler,large,medium,protective,6,0.7771201339994447,73,0.5550071313299336
Golden Retriever,large,medium,friendly,7,0.9638121349561461,79,Shih Tzu,small,medium,calm,5,0.6210407460822567,11,0.5615798724547179
Corgi,small,medium,friendly,13,0.8023825570407099,22,Shih Tzu,small,low,calm,13,0.681668417572752,6,0.9460022696872932
Bulldog,medium,low,calm,6,0.578858103583669,41,Chihuahua,small,medium,nervous,12,0.5939818241221598,22,0.673130068115028
Golden Retriever,large,medium,friendly,13,1.0,61,Rottweiler,large,medium,protective,3,0.3190125499757086,79,0.8806677560159806
Bulldog,medium,low,calm,3,0.7580382571301181,43,Beagle,medium,high,friendly,5,0.7774255007857875,41,0.5715879125088887
Bulldog,medium,low,calm,12,0.7235231868711461,28,Pomeranian,small,medium,bold,4,0.2629973918544988,18,0.6041111759425244
Poodle,medium,medium,intelligent,2,0.6899918159569239,54,Dachshund,small,medium,stubborn,12,0.5140759408481073,15,0.7256392518000716
Chihuahua,small,low,nervous,11,0.5219815149806397,22,Poodle,medium,medium,intelligent,6,0.6881907165038512,51,0.6031389434711737
German Shepherd,large,low,protective,7,0.7096164152598218,75,Pomeranian,small,medium,bold,10,0.3411683401191219,5,0.48419981501680087
Beagle,medium,medium,friendly,6,0.7409869524295747,29,Poodle,medium,medium,intelligent,11,0.7234032504361848,43,0.8548228979269029
Poodle,medium,medium,intelligent,13,0.7950884264304288,43,Labrador,large,low,friendly,10,0.8900188087973805,76,0.7820077496713003
Border Collie,medium,high,intelligent,3,0.7976504177107787,42,Shih Tzu,small,low,calm,6,0.6139869159725557,9,0.4115076456239946
Dachshund,small,medium,stubborn,1,0.5564153636935225,22,Boxer,large,high,playful,6,0.8570425998120125,88,0.3753702494328116
Beagle,medium,high,friendly,2,0.8512821209669168,46,Poodle,medium,medium,intelligent,8,0.7709501215715875,25,0.8370022786011108
Pomeranian,small,low,bold,13,0.42547047202364463,17,Poodle,medium,low,intelligent,11,0.6844913249110229,34,0.7694322347547761
Bulldog,medium,low,calm,8,0.5586629048613276,29,Golden Retriever,large,high,friendly,3,0.912937417675543,82,0.38707594715818905
Golden Retriever,large,high,friendly,10,1.0,79,Rottweiler,large,medium,protective,13,0.39944353416139833,72,0.7761978046027647
Boxer,large,high,playful,5,0.8844414719813236,74,Golden Retriever,large,high,friendly,9,1.0,82,1.0
Boxer,large,high,playful,1,0.7119181754634527,96,Boxer,large,high,playful,8,0.834066882380946,75,1.0
Poodle,medium,medium,intelligent,10,0.9077176391186733,34,Husky,large,high,energetic,10,0.7950782063575966,94,0.9815530548565505
Golden Retriever,large,high,friendly,4,0.9881235661687733,75,Bulldog,medium,medium,calm,9,0.7298470490041403,54,0.7692361128932927
Boxer,large,high,playful,14,0.7255140597324545,65,Shih Tzu,small,low,calm,13,0.4937119731334601,18,0.3383093885095921
Bulldog,medium,low,calm,10,0.8147682805289754,26,German Shepherd,large,high,protective,4,0.5916600442789782,81,0.433663171075005
Dachshund,small,high,stubborn,6,0.5677194139045807,15,Corgi,small,medium,friendly,7,0.7295069411276441,17,1.0
German Shepherd,large,high,protective,9,0.42931922610339207,65,Border Collie,medium,medium,intelligent,2,0.9710364933180986,40,0.6117504650337089
Poodle,medium,medium,intelligent,11,0.7689162159231295,27,Rottweiler,large,medium,protective,5,0.4439003625473515,99,0.8265279661147725
Border Collie,medium,high,intelligent,13,0.5955488687657323,46,Border Collie,medium,high,intelligent,14,0.76376166494911,41,1.0
Border Collie,medium,low,intelligent,12,0.5770658140395012,50,Boxer,large,medium,playful,14,0.6077085445925692,83,0.657449712314584
Rottweiler,large,medium,protective,2,0.5740800536700107,96,Dachshund,small,medium,stubborn,14,0.5855738289782643,24,0.48410871960047086
Dachshund,small,medium,stubborn,10,0.4834193420498737,21,Golden Retriever,large,medium,friendly,8,0.8488599213251167,64,0.5369448409954314
German Shepherd,large,high,protective,4,0.7769058416980349,98,Shih Tzu,small,low,calm,9,0.7135569010538955,9,0.15743374547006306
Golden Retriever,large,high,friendly,7,0.8943589743221535,93,Shih Tzu,small,low,calm,9,0.5078987384727964,10,0.26990941533075063
Golden Retriever,large,high,friendly,9,1.0,75,Dachshund,small,medium,stubborn,5,0.5849833974354772,21,0.3880019821399685
Pomeranian,small,medium,bold,13,0.4010335665265341,13,Chihuahua,small,medium,nervous,11,0.36206232420205225,5,0.7379643855552871
Border Collie,medium,high,intelligent,3,0.7063437741780579,45,Border Collie,medium,high,intelligent,3,0.6671507454878584,37,1.0
Corgi,small,medium,friendly,11,0.7782480635645527,22,Corgi,small,medium,friendly,7,0.7580981397746666,16,0.9736783345357636
Husky,large,high,energetic,2,0.5834965307693497,95,Chihuahua,small,medium,nervous,14,0.22940728486428102,18,0.12336786993790541
Shih Tzu,small,low,calm,5,0.7059627754951003,19,German Shepherd,large,medium,protective,5,0.5876749546059062,75,0.5550182799101986
Pomeranian,small,medium,bold,14,0.5444335671662635,22,Chihuahua,small,medium,nervous,8,0.45246320813890245,15,0.7946976180405928
Rottweiler,large,medium,protective,13,0.653141838998162,60,Boxer,large,high,playful,9,0.6750648912656739,65,0.737845243160436
Golden Retriever,large,high,friendly,2,0.9785211795672497,96,Husky,large,high,energetic,5,0.8291819178836666,85,1.0
Shih Tzu,small,high,calm,11,0.5774776323351244,7,Bulldog,medium,low,calm,14,0.6298000102396091,58,0.589831202813999
Bulldog,medium,low,calm,8,0.6003267097768208,59,Border Collie,medium,high,intelligent,12,0.8338309599622611,51,0.576038175134385
Poodle,medium,medium,intelligent,14,0.7071369212130858,49,Pomeranian,small,high,bold,11,0.42773182620781275,18,0.7179553339062502
Chihuahua,small,medium,nervous,1,0.28093258133559224,6,Chihuahua,small,medium,nervous,3,0.5999900725171444,23,0.7590417860277472
Labrador,large,high,friendly,7,0.830710223646434,80,Corgi,small,medium,friendly,12,0.7489676241606992,23,0.6994327030199556
Boxer,large,medium,playful,8,0.9092752410339855,73,Corgi,small,low,friendly,7,0.7439875489938532,12,0.7511413028851307
German Shepherd,large,high,protective,14,0.7250256449875276,63,Corgi,small,medium,friendly,13,0.7315770658792826,17,0.5427281112938255
Bulldog,medium,low,calm,11,0.6069971150015576,52,Labrador,large,medium,friendly,1,1.0,74,0.7302240499375425
Golden Retriever,large,high,friendly,6,0.7593715762845407,75,Poodle,medium,medium,intelligent,14,0.6277264385112917,36,0.71685327117094
Shih Tzu,small,low,calm,4,0.7145729101279829,18,Border Collie,medium,high,intelligent,6,0.8141033570328561,32,0.3601181966532905
Boxer,large,high,playful,6,0.8253850727151673,66,Corgi,small,high,friendly,11,0.8082299097231165,24,0.6255109430184533
Dachshund,small,medium,stubborn,12,0.4975991800053394,23,Boxer,large,high,playful,10,0.8528721325893504,68,0.32628713234300505
Pomeranian,small,medium,bold,4,0.5824390374588725,23,Border Collie,medium,medium,intelligent,12,0.7819290181896128,38,0.8631565210552407
Corgi,small,medium,friendly,3,0.775743558328992,11,Pomeranian,small,high,bold,2,0.5877179106791109,11,0.9499717735621293
Corgi,small,high,friendly,2,0.5783350000645125,10,Husky,large,high,energetic,7,0.6581108502530078,73,0.5278904191266534
Border Collie,medium,medium,intelligent,13,0.5667336160171785,42,Bulldog,medium,low,calm,8,0.7488279580990286,45,0.7609065459062941
Golden Retriever,large,high,friendly,9,1.0,95,Labrador,large,high,friendly,2,0.6801956460812721,91,1.0
Bulldog,medium,low,calm,13,0.7326695621221366,30,Poodle,medium,medium,intelligent,8,0.613161981824294,38,0.6828367024229618
Labrador,large,low,friendly,8,1.0,94,Labrador,large,high,friendly,5,0.7588177325758068,81,0.9764461972324866
Husky,large,high,energetic,11,0.7393611365196164,80,Poodle,medium,medium,intelligent,11,0.740836670420314,25,0.9120061141486635
Golden Retriever,large,high,friendly,8,0.9282113309477634,66,Husky,large,high,energetic,5,0.6563722696433119,72,0.9319835773578403
Bulldog,medium,low,calm,13,0.5425456570418231,46,Shih Tzu,small,low,calm,1,0.6871124392967469,20,0.7965671433036056
Poodle,medium,medium,intelligent,13,0.8922534918130527,29,Chihuahua,small,high,nervous,9,0.3728546830402445,24,0.6727173347093174
Rottweiler,large,medium,protective,2,0.4413032663683347,61,Corgi,small,medium,friendly,13,0.6822962309333734,5,0.5154974706065936
Poodle,medium,medium,intelligent,10,0.47667072276992695,28,Rottweiler,large,medium,protective,3,0.553899838556477,74,0.823551244992768
Rottweiler,large,medium,protective,11,0.5467921938719005,78,Rottweiler,large,medium,protective,8,0.6076292404085569,67,0.9358810234258707
Boxer,large,high,playful,11,0.7987070253015877,90,Labrador,large,high,friendly,2,0.8895166392927167,97,0.9664394136812673
Golden Retriever,large,high,friendly,4,0.9407008860858992,84,Dachshund,small,medium,stubborn,2,0.4695117149164462,6,0.3848613842577655
Border Collie,medium,high,intelligent,6,0.6330660188467404,50,Bulldog,medium,low,calm,6,0.5787218575111388,47,0.7198237419236098
Labrador,large,high,friendly,4,0.8250846501235077,78,Poodle,medium,medium,intelligent,11,0.7389613794348496,45,0.6237476601502021
Beagle,medium,high,friendly,11,1.0,46,Poodle,medium,medium,intelligent,13,0.6519103139064301,42,1.0
Shih Tzu,small,low,calm,7,0.6207268912672251,15,Husky,large,high,energetic,10,0.5996951612054991,80,0.19821724794380666
Golden Retriever,large,high,friendly,13,0.7407119808777708,98,Bulldog,medium,low,calm,9,0.922085344546747,41,0.43087950372787126
Chihuahua,small,medium,nervous,5,0.3859039220364749,18,Boxer,large,medium,playful,14,0.8305074608023046,62,0.5144391990461655
Border Collie,medium,high,intelligent,9,0.6416597951477243,34,Boxer,large,low,playful,8,0.9558346382340014,67,0.5798316310693903
German Shepherd,large,high,protective,14,0.5917525266356589,91,Border Collie,medium,high,intelligent,6,0.7291275019620095,25,0.7991092363423122
Golden Retriever,large,high,friendly,14,0.9389860668384462,91,Corgi,small,medium,friendly,8,0.6397555318575999,7,0.6924965061683582
Golden Retriever,large,low,friendly,3,0.8042477213933835,75,Rottweiler,large,medium,protective,3,0.4371231482263354,94,0.922230707993809
Husky,large,high,energetic,2,0.7258685698013503,89,Shih Tzu,small,low,calm,12,0.6901435256918503,5,0.07403154799346714
Pomeranian,small,medium,bold,6,0.5107904399525375,9,Poodle,medium,medium,intelligent,12,0.6956089583346008,31,0.7728065336618168
Poodle,medium,medium,intelligent,13,0.599088176101879,34,Husky,large,high,energetic,13,0.5814758168797123,69,0.7656703847071658
Husky,large,high,energetic,9,0.5854229912655087,95,German Shepherd,large,high,protective,7,0.5802017654673743,82,0.8323100021896972
Rottweiler,large,medium,protective,14,0.4067257186434711,65,Husky,large,medium,energetic,8,0.5407128821033109,68,0.7276237533564469
Shih Tzu,small,low,calm,6,0.4947897419323777,13,Husky,large,high,energetic,7,0.754304483929625,79,0.26725700765244853
Beagle,medium,high,friendly,11,0.6164303235309515,57,Boxer,large,high,playful,9,0.9447980999607207,66,0.7865372089097858
Rottweiler,large,medium,protective,12,0.3374920793082503,88,Labrador,large,high,friendly,7,0.8084617350380582,71,0.7540714652848919
Boxer,large,high,playful,4,0.8493980958913298,62,Border Collie,medium,high,intelligent,7,0.6638764845061004,25,0.8407453566487304
German Shepherd,large,high,protective,6,0.5054224022206893,81,Shih Tzu,small,high,calm,4,0.675115583396978,23,0.6111166986319931
Golden Retriever,large,high,friendly,14,0.9458764184672807,84,Poodle,medium,medium,intelligent,2,0.8024709350761872,57,0.6818080750972185
Labrador,large,high,friendly,9,0.9041569406902259,61,Shih Tzu,small,low,calm,3,0.5694659485225804,6,0.09337811421262764
Boxer,large,high,playful,12,0.75646627755176,87,Labrador,large,high,friendly,2,0.8475903389062347,94,0.8989264290539096
Border Collie,medium,high,intelligent,5,0.7758088992922462,51,German Shepherd,large,high,protective,14,0.7291476741558857,89,0.7219025130100579
Chihuahua,small,medium,nervous,3,0.4685389916681572,21,Bulldog,medium,low,calm,8,0.5488722604199814,56,0.6196911386061449
Beagle,medium,medium,friendly,5,0.7112045786645139,27,Poodle,medium,medium,intelligent,4,0.7198092648322421,52,1.0
Poodle,medium,medium,intelligent,4,0.7302405255559634,37,Boxer,large,high,playful,10,0.8580886529478632,82,0.7093319966095303
Dachshund,small,medium,stubborn,9,0.48101875466401534,5,Poodle,medium,medium,intelligent,9,0.833102410294394,49,1.0
Golden Retriever,large,high,friendly,10,0.9082559100287112,72,Beagle,medium,high,friendly,5,0.8399703513547077,47,0.9553369451532678
Pomeranian,small,medium,bold,7,0.5067775653510974,12,Bulldog,medium,low,calm,13,0.6884203452524544,48,0.6339871974617035
Chihuahua,small,medium,nervous,4,0.2986137582355182,21,Shih Tzu,small,medium,calm,8,0.4693578304748629,24,0.7873717740675992
Labrador,large,high,friendly,3,0.8629945521209487,97,Rottweiler,large,medium,protective,3,0.4403094503118555,65,0.8915409499825113
Beagle,medium,low,friendly,6,0.7407927870710658,31,Boxer,large,high,playful,1,0.8354410496834848,75,0.46720691413892895
Border Collie,medium,high,intelligent,1,0.7758181674687258,35,German Shepherd,large,high,protective,6,0.5881464094988025,96,0.8187642218225868
Husky,large,high,energetic,2,0.5614886840132747,67,Labrador,large,high,friendly,4,0.8581496013134661,79,0.984333249269012
Pomeranian,small,low,bold,13,0.49252842118741824,23,Labrador,large,medium,friendly,9,0.7320539038998154,90,0.3876650242515889
Chihuahua,small,medium,nervous,8,0.48210929055478396,21,Rottweiler,large,medium,protective,2,0.46545578470575016,86,0.334697989324746
German Shepherd,large,high,protective,14,0.5782907705554674,87,Beagle,medium,high,friendly,14,0.8673734147563261,43,1.0
Boxer,large,high,playful,4,0.7011345044159039,88,Beagle,medium,high,friendly,9,0.9507249041447229,36,0.9283159805550191
Border Collie,medium,high,intelligent,13,0.6452259991065185,39,Pomeranian,small,medium,bold,1,0.42315282300801565,22,0.5541039157935023
Golden Retriever,large,low,friendly,7,0.8570764193669855,80,Corgi,small,high,friendly,14,0.8403949983067489,21,0.5894898091634183
Shih Tzu,small,medium,calm,6,0.5437733383107713,9,Labrador,large,medium,friendly,11,0.9666960943864907,68,0.4568651985103057
German Shepherd,large,high,protective,7,0.5325272863670616,74,Shih Tzu,small,low,calm,11,0.6125711677028741,19,0.13340127103565108
Border Collie,medium,high,intelligent,3,0.5433503096908129,55,Shih Tzu,small,low,calm,1,0.4278782968396913,22,0.30317665765974966
Labrador,large,high,friendly,7,0.7765587434074104,98,Border Collie,medium,high,intelligent,2,0.6978269765647848,57,0.7487157443998762
Dachshund,small,medium,stubborn,8,0.44864721324318557,20,Boxer,large,high,playful,4,0.7075775599844042,62,0.3893514891102241
Poodle,medium,high,intelligent,14,0.6250231323370083,26,German Shepherd,large,high,protective,10,0.6659005306304091,65,0.8160127689363824
